,City,Code.1,Code.2,a. Index of Multiple Deprivation (IMD),b. Income Deprivation Domain,c. Employment Deprivation Domain,"d. Education, Skills and Training Domain",e. Health Deprivation and Disability Domain,f. Crime Domain,g. Barriers to Housing and Services Domain,h. Living Environment Deprivation Domain,i. Income Deprivation Affecting Children Index (IDACI),j. Income Deprivation Affecting Older People Index (IDAOPI),LSOA
203,Leeds,051C,E01011330,3,3,3,4,3,3,5,3,3,5,Leeds 051C
204,Leeds,051D,E01011333,3,3,3,3,3,4,7,3,3,3,Leeds 051D
205,Leeds,052A,E01011327,3,3,2,4,2,2,4,5,3,4,Leeds 052A
206,Leeds,052B,E01011328,3,3,3,3,2,2,6,4,3,3,Leeds 052B
207,Leeds,052C,E01011335,4,4,4,4,4,4,8,3,4,4,Leeds 052C
208,Leeds,052D,E01011591,7,9,8,9,7,4,3,2,10,7,Leeds 052D
209,Leeds,053A,E01011430,1,2,2,1,2,1,3,1,2,1,Leeds 053A
210,Leeds,053B,E01011432,1,1,1,1,2,1,5,1,1,1,Leeds 053B
211,Leeds,053C,E01011433,1,1,1,1,2,1,5,1,1,1,Leeds 053C
212,Leeds,053D,E01011434,1,1,1,1,1,1,5,1,1,1,Leeds 053D
213,Leeds,054A,E01011445,7,10,10,7,4,3,4,4,6,1,Leeds 054A
214,Leeds,054B,E01011446,6,8,10,6,4,4,4,1,3,3,Leeds 054B
215,Leeds,054C,E01011447,5,7,8,5,4,2,5,2,6,1,Leeds 054C
216,Leeds,054D,E01011448,2,3,5,3,1,1,4,3,1,1,Leeds 054D
217,Leeds,054E,E01011449,3,4,5,4,2,3,5,1,3,1,Leeds 054E
218,Leeds,055A,E01011670,3,3,4,2,1,4,4,4,1,1,Leeds 055A
219,Leeds,055B,E01011671,1,1,2,2,1,2,4,1,1,1,Leeds 055B
220,Leeds,055F,E01033002,2,3,5,5,2,1,2,1,4,1,Leeds 055F
221,Leeds,055G,E01033003,1,2,2,4,2,3,1,1,1,1,Leeds 055G
222,Leeds,055H,E01033005,3,6,7,4,2,1,2,1,2,1,Leeds 055H
223,Leeds,056A,E01011478,3,4,4,6,2,2,7,2,2,2,Leeds 056A
224,Leeds,056B,E01011479,5,7,8,3,5,3,5,1,2,3,Leeds 056B
225,Leeds,056C,E01011481,2,3,3,3,1,1,5,1,2,1,Leeds 056C
226,Leeds,056D,E01011482,3,5,5,2,3,2,8,1,3,3,Leeds 056D
227,Leeds,056E,E01011483,1,2,3,2,1,1,4,2,1,1,Leeds 056E
228,Leeds,057A,E01011406,8,9,7,7,6,6,10,4,8,9,Leeds 057A
