Col.Number,Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle
2157,765209,431976,435829,2,1,17-Sep-09,905,3,1,1,1,1,3,1,23,1
2158,767109,430642,434705,2,1,17-Sep-09,1950,3,1,4,1,1,2,1,26,1
2161,763809,430889,433535,2,1,18-Sep-09,1450,6,1,1,1,1,3,1,35,1
2173,768409,433601,434441,2,1,20-Sep-09,1500,6,1,1,1,1,3,1,12,1
2217,785809,430072,433830,2,1,25-Sep-09,1,6,1,7,1,1,3,1,38,1
2223,787909,429250,438591,2,1,26-Sep-09,2230,3,1,4,1,1,2,1,45,1
2241,802309,430597,426445,2,1,27-Sep-09,950,6,2,1,2,1,3,1,44,1
2242,794809,428905,435508,2,1,28-Sep-09,1735,3,1,1,1,1,3,1,50,1
2247,799109,428272,433520,2,1,29-Sep-09,730,6,1,1,1,1,3,2,39,1
2252,840509,430700,434876,2,1,29-Sep-09,1736,3,1,1,1,1,3,1,22,1
2260,845109,428148,435835,2,1,30-Sep-09,1445,3,1,1,1,1,3,1,19,1
2261,800109,429433,433462,2,1,01-Oct-09,915,6,1,1,1,1,3,1,34,1
2264,811009,432337,432653,2,1,01-Oct-09,1827,6,1,4,1,1,3,1,49,1
2266,901909,422225,433765,2,1,01-Oct-09,1750,4,1,1,1,1,3,1,21,1
2267,804209,428110,432803,2,1,02-Oct-09,1630,4,1,1,1,1,3,2,40,1
2290,813809,429221,431643,2,1,05-Oct-09,1715,6,1,1,1,1,3,1,12,1
2292,816409,432514,427314,2,1,05-Oct-09,1715,3,1,1,1,1,3,1,42,1
2298,828109,427112,436977,3,1,05-Oct-09,1300,6,2,1,2,1,3,1,19,1
2326,827109,427517,434869,2,1,09-Oct-09,1655,6,1,1,1,1,3,1,23,1
2332,838709,430704,439227,2,1,10-Oct-09,845,3,1,1,1,1,3,1,39,1
2333,838909,432331,434981,2,1,10-Oct-09,1355,4,1,1,1,1,3,1,11,1
2345,840009,427984,435223,2,1,13-Oct-09,1700,6,1,1,1,1,3,2,22,1
2349,844509,441659,430764,2,1,13-Oct-09,1542,6,1,1,1,1,3,1,13,1
2355,865609,427393,429667,2,1,13-Oct-09,715,3,1,1,1,1,2,2,31,1
2368,848609,431893,430494,2,1,15-Oct-09,620,3,2,4,1,1,3,1,27,1
2391,860109,436222,434266,2,1,16-Oct-09,1530,6,1,1,1,1,3,2,44,1
