"","Column","X","Reference.Number","Easting","Northing","Number.of.Vehicles","Number.of.Casualties","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Weather.Conditions","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty","Type.of.Vehicle","Latitude","Longitude"
"782",14398,14398,"412809",428925,429829,2,1,"24-May-09",1545,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",20,"Bicycle",53.7637896242,-1.56116738156
"797",14420,14420,"416009",427225,429456,2,1,"25-May-09",1323,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",10,"Bicycle",53.7605284186,-1.58699089431
"827",14469,14469,"433709",430162,433766,1,2,"02-Jun-09",1030,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.7991081752,-1.54201583285
"835",14480,14480,"441009",429107,436249,2,1,"04-Jun-09",920,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",51,"Bicycle",53.8214872834,-1.55779973325
"842",14490,14490,"444609",427780,434626,2,1,"05-Jun-09",1305,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",11,"Bicycle",53.8069711667,-1.57810574408
"845",14494,14494,"446209",429847,432998,2,1,"04-Jun-09",1640,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",39,"Bicycle",53.7922229951,-1.54687308956
"847",14497,14497,"446509",427529,438624,2,1,"05-Jun-09",835,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8429214676,-1.58155962291
"848",14498,14498,"446609",430063,433950,2,1,"03-Jun-09",1206,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",33,"Bicycle",53.8007678312,-1.54350104785
"859",14511,14511,"452209",435321,434812,2,1,"05-Jun-09",1600,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8081855612,-1.46356433579
"865",14526,14526,"454709",420577,440162,2,1,"02-Jun-09",1740,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",32,"Bicycle",53.8570681998,-1.68712480742
"880",14546,14546,"466109",424609,435110,2,1,"11-Jun-09",1740,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",10,"Bicycle",53.8114814665,-1.62622375135
"885",14552,14552,"468609",420514,436541,2,1,"13-Jun-09",1235,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",38,"Bicycle",53.8245221922,-1.68832452198
"891",14559,14559,"469809",428843,435545,3,1,"28-May-09",1350,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",18,"Bicycle",53.8151739414,-1.56187636349
"899",14570,14570,"472509",423132,428428,2,1,"13-Jun-09",1313,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",9,"Bicycle",53.7514856494,-1.64915820501
"908",14586,14586,"476109",432453,435205,2,1,"13-Jun-09",1923,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",14,"Bicycle",53.8119049921,-1.50707862648
"910",14588,14588,"476309",432408,439852,3,1,"14-Jun-09",1205,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",53,"Bicycle",53.8536779551,-1.50727208124
