"","Column","X","Reference.Number","Easting","Northing","Number.of.Vehicles","Number.of.Casualties","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Weather.Conditions","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty","Type.of.Vehicle","Latitude","Longitude"
"8645",711,711,"10AA0004582",423999,436673,2,1,"20-Jun-10",1305,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",48,"Bicycle",53.8255594729,-1.63536664358
"8646",712,712,"10AA0004584",424016,437296,2,1,"24-Jun-10",2030,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",24,"Bicycle",53.8311587007,-1.63505968721
"8648",714,714,"10AA0004642",423295,434687,2,1,"25-Jun-10",2052,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.807739722,-1.64621315724
"8650",716,716,"10AA0004691",427745,436148,2,1,"27-Jun-10",1750,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",24,"Bicycle",53.8206539064,-1.57850003123
"8653",720,720,"10AA0004780",427374,437138,2,1,"30-Jun-10",830,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",32,"Bicycle",53.8295724245,-1.58404793447
"8656",723,723,"10AA0004829",418475,444634,2,1,"28-May-10",735,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",49,"Bicycle",53.8973451152,-1.71881591604
"8659",729,729,"10AA0004920",428513,433382,2,1,"26-Jun-10",1700,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",26,"Bicycle",53.7957494891,-1.56708922644
"8661",734,734,"10AA0004934",422387,432648,2,1,"03-Jul-10",1610,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",9,"Bicycle",53.7894513297,-1.66015111971
"8663",737,737,"10AA0004938",427569,434537,2,1,"06-Jul-10",950,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",41,"Bicycle",53.8061823952,-1.58131807278
"8664",738,738,"10AA0004945",425919,436256,2,1,"16-Jun-10",812,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",43,"Bicycle",53.821718951,-1.60623063818
"8665",739,739,"10AA0004958",428472,435199,2,1,"10-Jul-10",2235,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8120842895,-1.56754367233
"8670",750,750,"10AA0005049",420560,441128,2,1,"13-Jul-10",2115,6,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8657520385,-1.68731855532
"8672",752,752,"10AA0005062",423621,431754,2,1,"13-Jul-10",1750,6,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",51,"Bicycle",53.7813607433,-1.64148712286
"8678",760,760,"10AA0005110",420450,434940,3,1,"12-Jul-10",1720,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.8101335627,-1.68940330761
"8686",770,770,"10AA0005156",429476,435141,3,2,"16-Jul-10",2110,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",17,"Bicycle",53.8115069978,-1.55230014804
"8687",772,772,"10AA0005207",426378,435439,2,1,"20-Jul-10",851,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",46,"Bicycle",53.8143520409,-1.59932761463
"8688",773,773,"10AA0005213",418136,442482,2,1,"21-Jul-10",1655,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.8780132455,-1.72410274167
"8696",786,786,"10AA0005277",428061,435959,2,1,"23-Jul-10",1230,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8189380732,-1.57371677113
"8697",787,787,"10AA0005300",425069,434274,2,1,"25-Jul-10",1415,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",16,"Bicycle",53.8039448558,-1.61930525161
"8698",788,788,"10AA0005320",426155,435588,2,1,"23-Jul-10",845,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",27,"Bicycle",53.8157026338,-1.60270214824
"8701",791,791,"10AA0005355",426598,435546,2,1,"13-Jul-10",1730,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",31,"Bicycle",53.8153026304,-1.59597673438
"8709",810,810,"10AA0005461",423475,434034,2,1,"03-Aug-10",1715,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",47,"Bicycle",53.8018619227,-1.64352930445
"8718",826,826,"10AA0005520",424467,433642,2,1,"09-Aug-10",1700,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.7982925894,-1.62849715225
"8723",831,831,"10AA0005683",425945,435567,2,1,"20-Aug-10",1600,4,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Female",13,"Bicycle",53.8155243919,-1.60589376304
"8728",839,839,"10AA0005729",427741,434083,2,1,"19-Aug-10",1500,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.8020923518,-1.5787469473
"8739",852,852,"10AA0005840",426793,432225,2,1,"31-Aug-10",2015,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",11,"Bicycle",53.7854408704,-1.59330371934
"8744",860,860,"10AA0005897",425546,435375,2,1,"06-Sep-10",2110,6,"Wet / Damp","Darkness: street lighting unknown","Raining with high winds","Driver or rider","Slight","Male",16,"Bicycle",53.8138183045,-1.6119703863
"8746",862,862,"10AA0005970",428201,435793,2,1,"08-Sep-10",1630,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",38,"Bicycle",53.8174383677,-1.57160527218
"8747",863,863,"10AA0005972",425918,438100,2,1,"01-Sep-10",630,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",30,"Bicycle",53.8382942604,-1.60609035075
"8749",865,865,"10AA0005977",426338,438926,3,1,"07-Sep-10",1855,6,"Wet / Damp","Daylight: street lights present","Other","Driver or rider","Slight","Male",45,"Bicycle",53.8456978241,-1.59963640813
"8750",866,866,"10AA0005978",424421,438954,2,2,"09-Sep-10",745,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",16,"Bicycle",53.8460431932,-1.62877377293
"8760",883,883,"10AA0006084",423200,434656,2,1,"16-Sep-10",805,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",42,"Bicycle",53.8074653151,-1.64765825183
"8761",884,884,"10AA0006091",427326,437200,2,1,"09-Sep-10",1725,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",43,"Bicycle",53.8301322521,-1.58477176906
"8779",919,919,"10AA0006210",428574,435248,2,1,"22-Sep-10",840,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",34,"Bicycle",53.8125191421,-1.56598991067
"8788",931,931,"10AA0006271",423692,438145,2,1,"28-Sep-10",1120,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",59,"Bicycle",53.838805049,-1.63991753516
"8794",939,939,"10AA0006307",428796,435573,2,1,"02-Oct-10",1524,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",21,"Bicycle",53.815428231,-1.56258764738
"8801",950,950,"10AA0006349",427642,435960,2,1,"30-Sep-10",859,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.8189695111,-1.58008164861
"8808",957,957,"10AA0006388",428061,435959,2,1,"05-Oct-10",1550,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",21,"Bicycle",53.8189380732,-1.57371677113
"8809",958,958,"10AA0006414",418314,441767,2,1,"10-Oct-10",1705,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",51,"Bicycle",53.8715800056,-1.72143763338
"8816",966,966,"10AA0006447",427975,436062,2,1,"08-Oct-10",948,3,"Wet / Damp","Daylight: street lights present","Fog or mist ","Driver or rider","Slight","Male",19,"Bicycle",53.819868548,-1.57501381594
"8817",967,967,"10AA0006448",425059,433372,2,1,"07-Oct-10",645,4,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",40,"Bicycle",53.7958374294,-1.61953050584
"8819",969,969,"10AA0006466",427997,436011,2,1,"13-Oct-10",1315,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",50,"Bicycle",53.8194089382,-1.57468425211
"8822",973,973,"10AA0006473",427124,434791,2,1,"14-Oct-10",900,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.8084889409,-1.5880535748
"8823",974,974,"10AA0006484",429936,434256,2,1,"12-Oct-10",1200,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",28,"Bicycle",53.8035257049,-1.54539969282
"8825",976,976,"10AA0006510",427996,436014,2,1,"16-Oct-10",1845,3,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Female",26,"Bicycle",53.8194359582,-1.57469917007
"8831",984,984,"10AA0006534",427824,436514,2,1,"04-Oct-10",1710,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",30,"Bicycle",53.8239395594,-1.57726679131
"8832",985,985,"10AA0006537",426155,435589,2,1,"17-Oct-10",1130,4,"Dry","Daylight: street lights present","Unknown","Driver or rider","Serious","Male",40,"Bicycle",53.8157116226,-1.60270206322
"8840",998,998,"10AA0006591",429290,435612,2,1,"21-Oct-10",2030,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",24,"Bicycle",53.8157511948,-1.55508030247
"8843",1001,1001,"10AA0006598",426334,438515,2,1,"23-Oct-10",1735,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",13,"Bicycle",53.8420036611,-1.59973245012
"8847",1005,1005,"10AA0006991",425810,434173,2,1,"12-Oct-10",1535,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",41,"Bicycle",53.8030007444,-1.60806126952
"8857",1018,1018,"10AA0453772",423072,434925,2,1,"26-Oct-10",1430,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",57,"Bicycle",53.8098890045,-1.64958200158
"8859",1020,1020,"10AA0456208",427303,433626,2,1,"27-Oct-10",1945,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.7980076571,-1.58543839652
"8868",1029,1029,"10AA0466485",422950,443089,2,1,"02-Nov-10",1644,6,"Wet / Damp","Darkness: street lights present and lit","Raining with high winds","Driver or rider","Fatal","Male",55,"Bicycle",53.8832787482,-1.65082475879
"8870",1031,1031,"10AA0466757",420022,440873,2,1,"02-Nov-10",1900,3,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Serious","Male",45,"Bicycle",53.8634809342,-1.69551710455
"8872",1033,1033,"10AA0467110",421072,440426,2,1,"03-Nov-10",840,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",10,"Bicycle",53.8594213809,-1.67958028621
"8875",1037,1037,"10AA0471613",428717,435609,2,1,"05-Nov-10",1355,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.8157561948,-1.56378426181
"8882",1044,1044,"10AA0478014",422119,446007,2,1,"05-Nov-10",905,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",51,"Bicycle",53.9095439118,-1.6632570359
"8897",1069,1069,"10AA0495747",427975,436062,2,1,"19-Nov-10",1445,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.819868548,-1.57501381594
"8922",1100,1100,"10AA0509834",422012,436497,2,1,"24-Nov-10",1815,3,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.824065398,-1.66556851198
"8924",1102,1102,"10AA0513815",428587,435664,2,1,"27-Nov-10",1300,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",27,"Bicycle",53.8162577393,-1.56575380898
"8944",1126,1126,"10AA0533824",427433,437064,2,1,"14-Dec-10",1658,3,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",28,"Bicycle",53.8289041472,-1.58315805048
"8945",1127,1127,"10AA0534067",426844,438046,2,1,"14-Dec-10",545,3,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",37,"Bicycle",53.8377618425,-1.59202182537
"8968",1159,1159,"10BA0000020",428698,436765,3,1,"04-Jan-10",815,6,"Frost/ Ice","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.8261482021,-1.56396500029
"8985",1187,1187,"10BA0000388",436093,434819,2,1,"14-Jan-10",1900,3,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",16,"Bicycle",53.8081954741,-1.45183939386
"8989",1191,1191,"10BA0000517",440139,426162,2,1,"24-Jan-10",920,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",42,"Bicycle",53.7300850629,-1.39152088083
"8999",1204,1204,"10BA0000703",427980,441453,2,1,"31-Jan-10",1140,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8683263386,-1.57444672969
"9005",1216,1216,"10BA0000761",432573,433795,1,1,"02-Feb-10",2335,3,"Frost/ Ice","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",18,"Bicycle",53.799223469,-1.5054052397
"9010",1221,1221,"10BA0000927",438463,432688,2,1,"07-Feb-10",1250,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",63,"Bicycle",53.7888709963,-1.4161132739
"9078",1319,1319,"10BA0002293",440137,426162,2,1,"08-Mar-10",915,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",69,"Bicycle",53.7300852168,-1.39155119754
"9083",1326,1326,"10BA0002344",432106,435605,2,1,"30-Mar-10",645,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",43,"Bicycle",53.8155219993,-1.51230718296
"9108",1361,1361,"10BA0002693",429945,436623,2,1,"14-Apr-10",740,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",49,"Bicycle",53.8248014522,-1.54503266085
"9112",1365,1365,"10BA0002830",430670,436796,2,1,"13-Apr-10",1850,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",36,"Bicycle",53.8263142146,-1.53400056232
"9121",1378,1378,"10BA0003067",432780,435396,2,1,"27-Apr-10",2100,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.8136013125,-1.50209175508
"9128",1388,1388,"10BA0003159",436159,434604,2,1,"01-May-10",1200,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",31,"Bicycle",53.8062583433,-1.45086232893
"9130",1391,1391,"10BA0003177",430805,436637,2,1,"02-May-10",1435,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.8248770313,-1.53196537979
"9132",1396,1396,"10BA0003228",436174,434635,2,1,"04-May-10",1240,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",36,"Bicycle",53.8065359463,-1.45063089632
"9144",1411,1411,"10BA0003396",442957,431618,2,1,"09-May-10",830,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",20,"Bicycle",53.778901801,-1.34804592799
"9149",1417,1417,"10BA0003457",431127,434259,2,1,"11-May-10",1920,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",21,"Bicycle",53.8034827591,-1.52731383831
"9155",1424,1424,"10BA0003538",431593,439582,2,1,"13-May-10",2030,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",41,"Bicycle",53.8513012633,-1.51969055972
"9159",1429,1429,"10BA0003572",430937,435425,2,1,"09-May-10",1730,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",10,"Bicycle",53.8139749126,-1.53008181936
"9167",1441,1441,"10BA0003765",430170,438243,2,1,"18-May-10",1620,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",51,"Bicycle",53.8393500912,-1.54145523781
"9169",1443,1443,"10BA0003805",434064,435140,2,1,"24-May-10",805,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.8112176878,-1.48261777497
"9171",1445,1445,"10BA0003812",435392,435918,2,1,"22-May-10",1610,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",5,"Bicycle",53.8181221193,-1.46235886805
"9204",1496,1496,"10BA0004152",431418,435591,2,1,"04-Jun-10",1130,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8154381896,-1.52275898629
"9207",1499,1499,"10BA0004159",431824,435510,2,1,"03-Jun-10",1830,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",9,"Bicycle",53.8146854141,-1.51660044425
"9221",1516,1516,"10BA0004396",433595,436294,2,2,"15-Jun-10",2240,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",16,"Bicycle",53.8216210778,-1.48961486597
"9224",1520,1520,"10BA0004415",431905,435731,2,1,"15-Jun-10",840,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",42,"Bicycle",53.8166669447,-1.5153472021
"9225",1521,1521,"10BA0004416",430894,435526,2,1,"16-Jun-10",1515,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",31,"Bicycle",53.8148853268,-1.53072480321
"9229",1526,1526,"10BA0004489",432844,434338,2,1,"17-Jun-10",2210,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",16,"Bicycle",53.8040872757,-1.50123257501
"9230",1527,1527,"10BA0004493",431469,433529,2,1,"18-Jun-10",1650,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.7969004309,-1.52219511612
"9244",1548,1548,"10BA0004729",434232,433849,2,1,"23-Jun-10",1550,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.7996023316,-1.48020977286
"9253",1559,1559,"10BA0004896",432280,436272,2,1,"05-Jul-10",1810,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",22,"Bicycle",53.8215066563,-1.50959421982
"9265",1577,1577,"10BA0005008",437963,428081,2,1,"11-Jul-10",1755,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",61,"Bicycle",53.747497216,-1.42426993506
"9283",1605,1605,"10BA0005244",428674,437010,3,1,"21-Jul-10",1236,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",52,"Bicycle",53.8283517605,-1.56430679236
"9285",1607,1607,"10BA0005264",430527,435408,2,1,"22-Jul-10",2015,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",17,"Bicycle",53.8138463392,-1.53631098305
"9291",1614,1614,"10BA0005310",430955,440085,2,1,"25-Jul-10",850,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",5,"Bicycle",53.8558609705,-1.52933900532
"9293",1616,1616,"10BA0005357",435289,436165,2,1,"26-Jul-10",1245,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.8203493025,-1.46389513163
"9305",1641,1641,"10BA0005428",430734,435470,2,1,"29-Jul-10",1629,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",8,"Bicycle",53.814391443,-1.53316068385
"9310",1648,1648,"10BA0005465",432101,436044,2,1,"29-Jul-10",646,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.8194683288,-1.51233731996
"9339",1686,1686,"10BA0005745",442189,434472,2,1,"22-Aug-10",1045,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",33,"Bicycle",53.8046176718,-1.35931017532
"9343",1690,1690,"10BA0005763",445362,431632,2,1,"23-Aug-10",1000,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",46,"Bicycle",53.7788236354,-1.31154624948
"9350",1700,1700,"10BA0005807",441195,449895,1,1,"29-Aug-10",1411,4,"Dry","Daylight: street lights present","Fine with high winds","Driver or rider","Slight","Female",23,"Bicycle",53.9433248404,-1.37233182335
"9352",1702,1702,"10BA0005811",436124,435560,2,1,"27-Aug-10",810,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.8148538596,-1.4512816231
"9365",1718,1718,"10BA0005920",437323,433359,2,1,"06-Sep-10",820,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",36,"Bicycle",53.7949853435,-1.43333678801
"9376",1736,1736,"10BA0006032",439814,432839,2,1,"12-Sep-10",1633,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",7,"Bicycle",53.7901266582,-1.39558617334
"9384",1751,1751,"10BA0006120",441220,432405,2,1,"14-Sep-10",1645,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.7861161818,-1.37430120414
"9387",1756,1756,"10BA0006140",433540,435112,2,1,"20-Sep-10",1620,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",15,"Bicycle",53.8110000692,-1.49057926928
"9399",1772,1772,"10BA0006245",429611,437594,2,1,"25-Sep-10",1605,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",15,"Bicycle",53.8335486059,-1.55001356202
"9400",1773,1773,"10BA0006249",431892,438074,2,1,"25-Sep-10",1010,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",44,"Bicycle",53.8377281433,-1.51530162423
"9401",1774,1774,"10BA0006255",430477,435598,2,1,"27-Sep-10",1950,3,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male",52,"Bicycle",53.8155571244,-1.53705160871
"9408",1786,1786,"10BA0006335",433090,434232,2,1,"02-Oct-10",1810,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",11,"Bicycle",53.8031188854,-1.49750838083
"9414",1792,1792,"10BA0006364",436802,435595,2,1,"24-Sep-10",810,6,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",11,"Bicycle",53.8151209091,-1.44097924882
"9418",1797,1797,"10BA0006427",431965,437041,2,1,"11-Oct-10",1730,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",46,"Bicycle",53.8284383945,-1.51429964519
"9422",1801,1801,"10BA0006512",432458,433869,2,1,"16-Oct-10",1645,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",56,"Bicycle",53.7998958193,-1.50714355131
"9442",1842,1842,"10BA0006614",431289,437142,2,1,"23-Oct-10",1545,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.8293873913,-1.52456062602
"9461",1871,1871,"10BA0006695",439312,432387,2,1,"26-Oct-10",755,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Serious","Male",32,"Bicycle",53.7861020036,-1.40326420535
"9466",1878,1878,"10BA0006730",432631,435874,2,1,"04-Nov-10",1700,3,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8179072596,-1.50430418257
"9476",1890,1890,"10BA0006768",431348,435059,2,1,"05-Nov-10",1500,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",37,"Bicycle",53.8106604374,-1.52387644769
"9484",1904,1904,"10BA0006794",435940,435467,2,1,"08-Nov-10",1710,6,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male",21,"Bicycle",53.8140306736,-1.45408727988
"9491",1918,1918,"10BA0006846",442101,434631,2,1,"13-Nov-10",1535,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",64,"Bicycle",53.8060539648,-1.3606247231
"9503",1934,1934,"10BA0126930",438792,430898,2,1,"26-Mar-10",1203,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Fatal","Male",19,"Bicycle",53.7727570466,-1.41134440882
"9520",1955,1955,"10BA0496053",437820,433100,2,1,"19-Nov-10",1750,3,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Serious","Male",41,"Bicycle",53.7926214148,-1.4258232065
"9535",1982,1982,"10BA0506117",429107,436247,2,1,"25-Nov-10",1920,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",53,"Bicycle",53.821469306,-1.55779992253
"9543",1992,1992,"10BA0513525",431482,435007,2,1,"29-Nov-10",2151,6,"Snow","Darkness: street lights present and lit","Snowing without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8101849305,-1.52184660967
"9576",2032,2032,"10BA0535478",432362,433180,2,1,"15-Dec-10",1745,6,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",50,"Bicycle",53.7937085971,-1.50867359051
"9605",2075,2075,"10CA0000298",424277,428345,2,1,"11-Jan-10",1320,3,"Frost/ Ice","Daylight: street lights present","Other","Driver or rider","Serious","Male",19,"Bicycle",53.7506874866,-1.63179896128
"9611",2081,2081,"10CA0000435",429972,433280,2,1,"18-Jan-10",745,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",31,"Bicycle",53.7947506336,-1.54494801249
"9613",2085,2085,"10CA0000451",430636,433680,2,1,"20-Jan-10",2013,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",37,"Bicycle",53.7983074469,-1.53482736255
"9638",2116,2116,"10CA0000826",428322,434094,2,1,"02-Feb-10",1930,3,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",31,"Bicycle",53.8021599174,-1.56992359645
"9640",2121,2121,"10CA0000886",429133,430518,2,1,"06-Feb-10",1727,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",30,"Bicycle",53.7699713099,-1.55794678247
"9672",2170,2170,"10CA0001417",428944,429843,2,1,"25-Feb-10",1640,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.7639144119,-1.56087782136
"9674",2174,2174,"10CA0001445",426375,426745,2,1,"24-Feb-10",1830,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",42,"Bicycle",53.7362033252,-1.60011669465
"9675",2175,2175,"10CA0001452",436200,427757,2,1,"26-Feb-10",1645,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",34,"Bicycle",53.7447103184,-1.45104339263
