Reference Number,Crossing Type,Street Name,Easting,Northing,Postcode
911L,Junction Crossing,SLAID HILL / SHADWELL LN / ROUNDHAY PARK LN,432947,440123,LS17 8TW
916L,Junction Crossing,KING LANE / MOORTOWN / SAINSBURY'S,429712,438992,LS17 5NY
950L,Junction Crossing,A63 SELBY ROAD / NINELANDS LN  FIRE STATION,441048,432065,LS25 2BY
952L,Junction Crossing,"WAKEFIELD ROAD /  MAIN STREET / TOWN STREET / BARROWBY LANE, GARFORTH.",440365,433536,LS25 1AN
953L,Junction Crossing,A656 BARNSDALE ROAD /  NEWTON LANE / PARK LANE,442622,427965,WF10 2AL
774L,Junction Crossing,A650 BRITANNIA ROAD / BRIDGE STREET /  TINGLEY BAR GYRATORY,426853,426639,LS27 0EF
775L,Junction Crossing,A650 BRITANNIA ROAD / REIN ROAD / TINGLEY BAR GYRATORY,426857,426637,LS27 0EF
778L,Junction Crossing,A650 TINGLEY COMMON / JUNCTION A,427278,426408,WF3 1JH
809L,Junction Crossing,A6120/A647 BRADFORD ROAD/STANNINGLEY BY PASS (Dawson's Corner),420942,434421,LS28 6PY
811L,Junction Crossing,A6120/A647 BRADFORD ROAD / STANNINGLEY BY PASS/slave,420943,434416,LS28 6PY
380L,Junction Crossing,ST MICHAEL'S LANE / CARDIGAN ROAD,427831,435813,LS6 3AE
645L,Junction Crossing,"A61 / WAKEFIELD ROAD / WOOD LANE, ROTHWELL",432745,429217,LS26 0RS
516L,Junction Crossing,HAREHILLS LANE / ASHLEY ROAD / STRATHMORE DRIVE,432277,435033,LS9 7BD
518L,Junction Crossing,A64 / YORK RD / HAREHILLS  LN /  SHAFTSBURY,433094,434029,LS9 6PJ
782L,Junction Crossing,BATLEY ROAD / HILL TOP FARM- EAST ARDSLEY,427956,424431,WF3 1HD
783L,Junction Crossing,A650 BRADFORD ROAD / COMMON LANE / WESTERTON ROAD / EAST ARDSLEY,429657,425693,WF3 1NS
882L,Junction Crossing,A65 / GILL LANE / YEADON,420335,440469,LS19 7DD
730L,Junction Crossing,ELLAND ROAD / MILLSHAW,427849,430051,LS11 0HW
862L,Junction Crossing,A65 / BRADFORD ROAD / HIGH ROYDS DRIVE,417935,443190,LS29 6AE
964L,Junction Crossing,"A63 SELBY ROAD / LIDGETT LANE, GARFORTH.",440012,432394,LS25 1LR
262L,Junction Crossing,WHITEHALL ROAD / DUNLOP AVENUE - WOOD LANE / BRANCH ROAD,426250,431664,LS12 6LB
264L,Junction Crossing,WADE LANE - MERRION WAY,430283,434070,LS2 8HX
265L,Junction Crossing,VICAR LANE / MERRION STREET,430421,433888,LS1 6PJ
