Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle,Latitude,Longitude
22609,434345,434354,2,2,11-Jan-09,1335,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,24,Car,53.80413414,-1.478437693
22709,432517,436673,2,1,08-Jan-09,830,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,11,Car,53.82509633,-1.505951402
23009,438099,431586,1,1,12-Jan-09,735,6,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,20,Car,53.77899236,-1.421774862
23309,432192,442256,2,1,13-Jan-09,650,3,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver or rider,Slight,Female,25,Car,53.87529995,-1.510303703
24409,433753,441992,2,2,11-Jan-09,1840,6,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,20,Car,53.87282776,-1.486588271
24709,428956,435470,2,1,13-Jan-09,1550,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,20,Bicycle,53.81449351,-1.560167014
25009,432151,435283,1,1,12-Jan-09,1800,4,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,7,Car,53.81262487,-1.511657303
25109,428470,435284,2,1,13-Jan-09,2130,6,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,38,Bicycle,53.81284844,-1.567566185
26309,426322,428159,2,1,14-Jan-09,1830,4,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,37,Car,53.74891628,-1.600799786
26909,438554,430035,2,1,12-Jan-09,1915,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,23,Motorcycle,53.76501757,-1.415063613
27209,420436,440143,2,1,14-Jan-09,712,3,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,38,Car,53.85690298,-1.689269956
27309,432998,436045,1,1,16-Jan-09,15,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Serious,Male,38,Motorcycle,53.81942115,-1.498710994
29709,421375,440473,2,2,09-Jan-09,1550,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,39,Bus or Coach,53.85983146,-1.674969691
29909,428061,435959,2,1,14-Jan-09,845,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,26,Bicycle,53.81893807,-1.573716771
30009,430226,433202,1,1,11-Jan-09,158,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,20,Taxi,53.79403482,-1.541099429
30409,430330,433321,2,2,16-Jan-09,1404,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Bus or Coach,53.79509843,-1.539508808
32209,429595,434697,2,1,17-Jan-09,1215,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,90,Car,53.80750925,-1.550535458
33609,435121,433538,1,1,17-Jan-09,1115,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or Coach,53.79674761,-1.466746998
34509,431969,435825,2,1,15-Jan-09,640,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,53,Car,53.81750795,-1.51436528
34909,434620,441225,2,4,17-Jan-09,2125,6,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,18,Car,53.86587643,-1.473487661
35009,424244,428689,2,1,14-Jan-09,1737,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,16,Motorcycle,53.7537812,-1.632272445
35209,430530,440743,2,1,18-Jan-09,1825,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,47,Car,53.86180065,-1.535735294
35509,425747,431487,2,1,12-Jan-09,1240,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,46,Goods Vehicle,53.77885991,-1.609242383
35909,439996,437096,1,1,17-Jan-09,1510,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,69,Bus or Coach,53.82837671,-1.392270212
