Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle,Latitude,Longitude
110458696,431085,433298,2,1,06-Oct-11,1045,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,21,Car,53.79484712,-1.528048616
110458710,429118,430624,2,1,05-Oct-11,2020,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,75,Car,53.77092496,-1.558164374
110459143,433533,429766,1,2,06-Oct-11,1448,3,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Male,24,Car,53.76294707,-1.491267261
110459201,431486,431545,4,2,06-Oct-11,1500,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,58,Car,53.77906579,-1.522139715
110459462,420254,446136,1,1,05-Oct-11,1850,4,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,59,Car,53.91077972,-1.691641059
110459490,429143,432012,2,1,06-Oct-11,2010,6,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver or rider,Slight,Male,39,Taxi,53.78339998,-1.557653864
110459496,432516,427321,2,1,06-Oct-11,1630,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,26,Bicycle,53.74103405,-1.506953057
110459782,430575,433692,1,1,07-Oct-11,605,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,25,Bus or Coach,53.7984189,-1.535752353
110460131,425457,437464,1,1,07-Oct-11,755,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Car,53.83260021,-1.61314928
110460177,429372,433780,2,2,07-Oct-11,1015,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,27,Car,53.79927922,-1.554009566
110460318,421995,436506,2,1,06-Oct-11,1645,3,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Male,23,Car,53.82414702,-1.665826147
110460413,426068,436363,2,4,06-Oct-11,1246,6,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Serious,Male,23,Motorcycle,53.8226733,-1.603957974
110460465,431906,434891,2,1,06-Oct-11,1100,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,69,Car,53.8091164,-1.515419111
110460790,434396,433736,3,4,07-Oct-11,1510,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,50,Car,53.7985758,-1.477732276
110460865,432376,435131,2,1,07-Oct-11,1700,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Female,20,Motorcycle,53.81124463,-1.5082559
110460903,423818,434257,1,1,07-Oct-11,1610,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or Coach,53.80385084,-1.638303671
110460983,438949,431551,2,1,07-Oct-11,1545,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,32,Motorcycle,53.77861486,-1.408879656
110461355,428536,436888,1,1,07-Oct-11,35,4,Dry,Darkness: street lights present but unlit,Fine without high winds,Driver or rider,Slight,Male,35,Car,53.82726273,-1.566414921
110461388,434336,435123,2,4,07-Oct-11,2225,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,48,Car,53.81104699,-1.478488578
110461884,425818,442889,2,1,08-Oct-11,935,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,36,Car,53.88134617,-1.607207183
110461906,428367,428733,2,1,07-Oct-11,1851,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,32,Bicycle,53.75396857,-1.569733464
110461945,424219,427778,1,1,08-Oct-11,1107,1,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,35,Car,53.74559348,-1.632723061
110462155,428749,430854,2,5,08-Oct-11,1425,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,25,Car,53.77301288,-1.563741953
110462242,422943,443098,2,1,08-Oct-11,1425,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,61,Car,53.88335996,-1.650930585
110462316,429999,434150,2,4,07-Oct-11,1515,3,Dry,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Female,19,Car,53.80256927,-1.544453352
110462595,429601,434682,2,1,08-Oct-11,2315,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,39,Car,53.80737407,-1.55044578
110462839,441103,449181,3,1,08-Oct-11,1235,2,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,69,Car,53.93691454,-1.3738296
110463100,430556,436959,1,1,08-Oct-11,1600,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or Coach,53.82778608,-1.535716414
110463250,425511,434186,1,1,09-Oct-11,725,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,32,Car,53.80313235,-1.612600553
110463268,420930,434414,2,1,09-Oct-11,1325,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,19,Car,53.80538632,-1.682148908
110463315,431209,433665,2,1,09-Oct-11,1445,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,6,Car,53.79813856,-1.526128857
110463562,436083,435601,1,2,09-Oct-11,1749,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,30,Car,53.81522524,-1.451899567
110464245,428040,435919,2,1,10-Oct-11,930,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,36,Car,53.81857966,-1.574039425
110464276,426357,428166,2,1,09-Oct-11,2010,4,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,60,Car,53.74897743,-1.600268392
110464428,430670,436795,1,1,10-Oct-11,1055,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,64,Goods Vehicle,53.82630523,-1.534000662
110464473,431747,435845,2,4,05-Oct-11,1825,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,39,Car,53.81770133,-1.517735442
110465117,432096,435459,2,1,10-Oct-11,1450,4,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,22,Car,53.81421027,-1.512474308
110465168,433526,429805,2,1,06-Oct-11,1815,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,27,Bicycle,53.76329808,-1.491369218
110465493,427016,431793,2,1,10-Oct-11,800,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,38,Car,53.78154618,-1.589956714
110466100,434413,435371,2,1,10-Oct-11,1330,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,75,Car,53.81327108,-1.477291385
110466312,427032,431795,1,1,11-Oct-11,910,3,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,29,Motorcycle,53.78156333,-1.589713701
110466425,431884,435061,2,1,10-Oct-11,1745,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,41,Car,53.81064583,-1.515735617
110466980,429143,433838,1,1,11-Oct-11,1922,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,27,Taxi,53.79981345,-1.557481145
110467017,426836,426642,2,1,11-Oct-11,1835,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,33,Bicycle,53.73525395,-1.593136399
110467073,427011,428393,2,1,04-Oct-11,1735,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,16,Bicycle,53.75098441,-1.590330219
110467370,430873,435047,2,1,12-Oct-11,600,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,49,Goods Vehicle,53.81058099,-1.531091837
110467575,430845,434038,2,2,12-Oct-11,910,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,38,Goods Vehicle,53.80151306,-1.531618195
110467837,432706,438244,2,1,11-Oct-11,1845,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,81,Car,53.8392056,-1.502912766
110468761,428687,434942,1,1,12-Oct-11,1920,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,22,Car,53.80976237,-1.564302135
110468768,424292,429284,2,4,12-Oct-11,1910,4,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,26,Car,53.75912736,-1.631497596
110468781,420740,439852,1,1,08-Oct-11,140,3,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,18,Taxi,53.85427519,-1.684667367
110469204,423682,438138,1,1,13-Oct-11,815,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,14,Car,53.83874258,-1.640070056
110469220,432071,431096,2,1,13-Oct-11,825,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,16,Motorcycle,53.77499415,-1.513308266
110469254,423285,434644,2,1,13-Oct-11,830,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,50,Car,53.80735365,-1.646368279
110469587,429825,430666,2,1,13-Oct-11,725,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,28,Bicycle,53.77126248,-1.547432682
110469607,438846,446350,2,2,13-Oct-11,934,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,42,Car,53.91164284,-1.408570866
110469746,432370,433707,1,1,13-Oct-11,756,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,20,Motorcycle,53.79844514,-1.508496755
110469895,432681,430465,2,1,12-Oct-11,1750,4,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver or rider,Slight,Male,23,Car,53.76928434,-1.504118475
110470318,431579,434392,1,1,13-Oct-11,1652,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Car,53.80465101,-1.52043651
110470384,435304,435121,3,2,13-Oct-11,1845,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,20,Car,53.81096419,-1.463787065
110470785,440507,429025,2,1,13-Oct-11,2135,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,23,Motorcycle,53.75579091,-1.385567312
110471480,424816,443243,2,1,14-Oct-11,1155,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,81,Car,53.88457707,-1.622422482
110472002,427320,430255,1,1,14-Oct-11,1040,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,5,Car,53.76770552,-1.585479034
110472029,430788,433473,1,1,14-Oct-11,1815,3,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,32,Car,53.79643781,-1.532540193
110472428,426520,427468,2,1,14-Oct-11,2343,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,53,Car,53.74269493,-1.597856307
110472893,433869,434081,2,2,15-Oct-11,1136,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,41,Car,53.80171146,-1.485695924
110473069,443346,438966,2,1,14-Oct-11,1834,2,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,71,Car,53.84491631,-1.341107519
110473865,427260,435754,3,2,15-Oct-11,2025,4,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,30,Car,53.817138,-1.585902818
110474401,435545,438368,2,2,16-Oct-11,1000,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,43,Car,53.84013367,-1.459751464
110474537,442735,431686,2,1,16-Oct-11,953,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,28,Motorcycle,53.77953129,-1.351405537
110474594,425165,439406,2,1,16-Oct-11,1015,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,38,Car,53.85007058,-1.617427379
110475724,430638,434237,2,1,17-Oct-11,900,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,40,Bicycle,53.80331404,-1.534741577
110475933,430044,432652,1,2,17-Oct-11,802,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,45,Goods Vehicle,53.78910155,-1.543916145
110476562,431884,435073,1,1,17-Oct-11,1415,6,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Male,37,Car,53.81075369,-1.515734374
110477073,435304,435119,2,2,17-Oct-11,2050,6,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver or rider,Slight,Female,41,Car,53.81094622,-1.463787294
110477710,436187,436819,3,2,17-Oct-11,1430,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,34,Car,53.82616608,-1.450176583
110478266,430491,431631,2,1,18-Oct-11,930,1,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver or rider,Slight,Female,27,Car,53.77989805,-1.537231688
110478535,424059,431493,1,1,18-Oct-11,1837,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,31,Car,53.77899459,-1.634859796
110478567,428244,432831,2,1,18-Oct-11,1921,4,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,21,Motorcycle,53.79081135,-1.571223823
110478915,430694,433648,1,1,18-Oct-11,959,3,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,75,Car,53.79801639,-1.53394992
110479402,431064,431243,1,1,18-Oct-11,1400,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Bus or Coach,53.77637654,-1.528574555
110479407,421382,440153,2,2,18-Oct-11,750,6,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Female,50,Car,53.85695477,-1.674885548
110479849,428933,429860,1,2,19-Oct-11,1400,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,56,Car,53.76406783,-1.561043108
110480064,430359,434442,2,1,19-Oct-11,1728,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,43,Car,53.80517309,-1.538958011
110480149,430087,435418,2,2,18-Oct-11,2150,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,37,Car,53.81396187,-1.542993137
110480249,430564,432704,2,1,19-Oct-11,1940,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,35,Bicycle,53.78953869,-1.536017394
110480969,433441,434032,2,1,20-Oct-11,850,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,21,Motorcycle,53.80129871,-1.492200185
110481144,431348,432372,2,1,20-Oct-11,905,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,22,Motorcycle,53.7865078,-1.524149951
110481224,420636,441200,2,1,19-Oct-11,1335,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,65,Motorcycle,53.86639621,-1.686157904
110481857,428836,434631,3,2,20-Oct-11,1710,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,20,Car,53.80695863,-1.562068333
110482751,425183,437758,2,1,21-Oct-11,934,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,24,Car,53.83525626,-1.617288856
110482763,431910,435744,2,1,21-Oct-11,600,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,41,Car,53.81678349,-1.515269904
110483117,429691,432127,2,2,21-Oct-11,1135,1,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,29,Car,53.78440272,-1.549325266
110483169,433705,426832,2,1,20-Oct-11,841,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,45,Car,53.73656304,-1.488978099
110483509,429141,432043,1,1,21-Oct-11,1352,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,33,Bus or Coach,53.78367875,-1.557681289
110483921,429784,433660,1,2,21-Oct-11,2120,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,37,Car,53.79817715,-1.547765493
110484778,436610,436214,2,1,21-Oct-11,1830,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,14,Bicycle,53.82069838,-1.4438219
110485191,429338,434234,1,1,20-Oct-11,1850,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Bus or Coach,53.80336203,-1.554482556
110485447,435021,434969,2,1,01-Oct-11,2100,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,13,Bicycle,53.80961706,-1.468102487
110485898,426384,438072,1,1,19-Oct-11,804,3,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,40,Goods Vehicle,53.83801912,-1.599010535
110485912,424053,435486,2,1,21-Oct-11,2055,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,18,Car,53.81488727,-1.63463903
110486066,420668,434353,2,2,23-Oct-11,1319,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,22,Car,53.80484848,-1.68613177
110486515,435907,435603,2,1,23-Oct-11,1455,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,17,Motorcycle,53.8152554,-1.454572639
110487510,431967,430305,2,1,21-Oct-11,1315,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,22,Car,53.76789046,-1.51496842
110488147,428139,435847,2,1,24-Oct-11,1415,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,18,Bicycle,53.81792712,-1.572542131
110489181,424455,433904,1,1,25-Oct-11,815,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,47,Car,53.80064822,-1.628658549
110489328,436266,434706,2,1,25-Oct-11,1148,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,81,Bus or Coach,53.80716773,-1.449225412
110490047,424801,427536,2,1,25-Oct-11,1620,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,19,Motorcycle,53.7433908,-1.623916763
110490133,430841,431390,2,3,25-Oct-11,1913,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,19,Car,53.77771115,-1.531943964
110490250,430223,434363,1,1,25-Oct-11,1915,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,44,Car,53.8044709,-1.541031035
110490298,430221,433756,1,1,25-Oct-11,2045,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,18,Bus or Coach,53.79901486,-1.541120981
110490706,427263,435163,2,1,26-Oct-11,755,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,46,Motorcycle,53.81182549,-1.585909616
110490815,443042,447698,2,2,26-Oct-11,820,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,28,Car,53.92342739,-1.34450153
110491014,429922,427802,2,1,26-Oct-11,1101,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,55,Car,53.74551302,-1.546238431
110491144,435079,435124,2,1,25-Oct-11,2015,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,36,Car,53.81100639,-1.46720396
110491688,430210,432821,2,1,26-Oct-11,1530,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,43,Bicycle,53.79061104,-1.541379696
110492088,427516,434567,1,1,26-Oct-11,2228,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,11,Car,53.80645486,-1.582120262
110492677,427295,433637,2,1,27-Oct-11,708,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,46,Car,53.79810695,-1.585558888
110492821,426068,436361,2,2,27-Oct-11,1120,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,41,Car,53.82265532,-1.603958144
110492881,444828,442707,1,1,27-Oct-11,1100,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,52,Car,53.87841566,-1.318035105
110492905,427816,435081,2,1,27-Oct-11,1235,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,61,Car,53.81105912,-1.577517908
110492996,427681,434725,1,1,27-Oct-11,1052,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,10,Car,53.80786633,-1.579600307
110493382,429928,427585,2,1,27-Oct-11,1454,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,29,Car,53.7435621,-1.546168464
110493471,431812,428779,4,1,27-Oct-11,1520,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,61,Car,53.75418312,-1.517477395
110493614,427974,426034,2,1,27-Oct-11,1700,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,19,Car,53.72972891,-1.575938569
110493656,430088,435431,2,2,27-Oct-11,1230,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,24,Car,53.81407867,-1.542976677
110494081,427515,436171,2,1,28-Oct-11,440,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,19,Car,53.82087287,-1.581992014
110494241,431003,430595,2,1,28-Oct-11,739,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,79,Car,53.77055547,-1.529565387
110494327,425227,427225,2,2,20-Oct-11,2255,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,28,Car,53.74057481,-1.61748243
110494670,425128,435544,2,1,18-Oct-11,1830,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,50,Car,53.81535778,-1.618305616
110494688,428505,432643,2,1,28-Oct-11,1155,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,42,Motorcycle,53.78910723,-1.56727906
110495062,427207,434744,2,1,27-Oct-11,1645,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Serious,Male,23,Bicycle,53.80806213,-1.586797201
110495136,428342,429541,1,1,28-Oct-11,1540,3,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,15,Car,53.76123289,-1.570038474
110496058,429986,430911,2,1,29-Oct-11,1100,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,81,Bus or Coach,53.77345548,-1.544965921
110496107,432611,435865,1,1,29-Oct-11,1040,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Bus or Coach,53.81782762,-1.504608943
110496594,433392,436163,1,1,29-Oct-11,1730,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Female,12,Car,53.82045665,-1.492712991
110496626,422898,432279,3,2,29-Oct-11,1403,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,39,Car,53.78611221,-1.652421388
110496921,428505,437267,3,1,29-Oct-11,2145,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,31,Bus or Coach,53.83067116,-1.566850786
110497156,430288,433251,1,2,30-Oct-11,125,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,24,Car,53.79447166,-1.540153341
110498007,430087,433371,1,1,30-Oct-11,200,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,22,Car,53.79556197,-1.54319319
110498676,430498,432282,2,2,31-Oct-11,809,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,23,Car,53.78574931,-1.537061045
110499039,437500,433072,2,1,30-Oct-11,2048,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,26,Car,53.7923929,-1.430684535
110499757,425171,429004,1,1,31-Oct-11,1745,3,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,12,Car,53.75656874,-1.618186577
110499920,422599,433531,2,3,31-Oct-11,1830,4,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,20,Car,53.79737933,-1.656868114
110500305,429798,433790,2,3,01-Nov-11,400,6,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,21,Car,53.79934488,-1.547540348
110500332,422914,434705,1,1,01-Nov-11,620,4,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,49,Car,53.80791845,-1.651998039
110500764,426422,430137,1,1,01-Nov-11,920,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,42,Car,53.76669117,-1.599113942
110500845,432657,433851,2,1,31-Oct-11,1620,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,36,Bus or Coach,53.79972157,-1.504123881
110500966,427009,440124,1,1,01-Nov-11,1143,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,77,Bus or Coach,53.85643183,-1.589331434
110500988,429448,434031,2,2,01-Nov-11,1210,2,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,58,Car,53.8015311,-1.552831602
110501405,425131,433875,2,2,01-Nov-11,1425,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,52,Car,53.80035533,-1.618396316
110501443,430384,433428,1,2,30-Oct-11,500,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,25,Car,53.79605707,-1.538678417
110501480,435956,435468,2,1,31-Oct-11,1745,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,37,Taxi,53.81403856,-1.453844142
110501728,426753,427783,4,1,01-Nov-11,1705,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Female,17,Motorcycle,53.74551452,-1.594295967
110502483,430420,433728,1,1,28-Oct-11,1700,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,30,Bicycle,53.79875158,-1.538102217
110502730,428265,429601,2,1,02-Nov-11,1215,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,72,Car,53.76177641,-1.57120107
110503527,435196,431197,2,2,02-Nov-11,1730,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,34,Car,53.77570014,-1.465875639
110503543,431719,434559,2,2,02-Nov-11,1915,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,30,Car,53.8061436,-1.518293325
110503771,424795,441582,1,2,02-Nov-11,2123,6,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver or rider,Slight,Female,22,Car,53.86964785,-1.622876354
110503799,439406,439310,1,1,02-Nov-11,2345,3,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,19,Car,53.84832223,-1.400950614
110504430,423947,437321,2,1,27-Oct-11,800,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,26,Bicycle,53.8313866,-1.636106221
110505494,428062,435959,2,1,03-Nov-11,2120,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,22,Bicycle,53.81893802,-1.57370158
110505574,429963,430868,2,2,03-Nov-11,2042,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,38,Car,53.77307029,-1.545319108
